dataset,shot,shot_label,backbone,method,method_variant,seed,cache_entries,trainable_params,training_time_sec,inference_time_sec,images_per_second,gpu_memory_mb,num_prototypes_per_class,prototype_init,run_dir,metrics_json_path,preflight_report_path
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,1,120,0,0.0,12.103250548243523,330.48972951985183,,4,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_1/20260519T100326_8803ae0a,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_4/random_group_mean/seed_1/20260519T100326_8803ae0a/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M4_random_group_mean_seed1_20260519T100326/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100350/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,1,240,0,0.0,21.231556604616344,188.398810058528,,8,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_1/20260519T100432_cba2d3fe,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/medoid/seed_1/20260519T100432_cba2d3fe/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M8_medoid_seed1_20260519T100432/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100452/result_run_preflight_report.json
aid,8,8,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_random_group_mean,1,240,0,0.0,21.93784021306783,182.33335465800772,,8,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_1/20260519T100535_8e6acb15,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_8/M_8/random_group_mean/seed_1/20260519T100535_8e6acb15/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot8_M8_random_group_mean_seed1_20260519T100535/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100559/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,1,30,0,0.0,4.993540704250336,801.034824167015,,1,mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260519T100628_d25a314c,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/mean/seed_1/20260519T100628_d25a314c/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_mean_seed1_20260519T100628/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100650/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,1,30,0,0.0,5.078999596647918,787.5566681753537,,1,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260519T100717_09556737,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/medoid/seed_1/20260519T100717_09556737/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_medoid_seed1_20260519T100717/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100740/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,1,30,0,0.0,5.017496505752206,797.2103210065582,,1,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260519T100806_07480446,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_1/random_group_mean/seed_1/20260519T100806_07480446/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M1_random_group_mean_seed1_20260519T100806/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100829/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_medoid,1,60,0,0.0,7.356353094801307,543.7476897114656,,2,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260519T100904_929998a2,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/medoid/seed_1/20260519T100904_929998a2/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_medoid_seed1_20260519T100904/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T100923/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M2_random_group_mean,1,60,0,0.0,7.33358347043395,545.4359408502522,,2,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260519T100952_0da4659a,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_2/random_group_mean/seed_1/20260519T100952_0da4659a/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M2_random_group_mean_seed1_20260519T100952/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101017/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_medoid,1,120,0,0.0,12.201691394671798,327.8234033805108,,4,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260519T101106_99099e6a,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/medoid/seed_1/20260519T101106_99099e6a/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_medoid_seed1_20260519T101106/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101126/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M4_random_group_mean,1,120,0,0.0,12.073918213136494,331.29262012459026,,4,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260519T101158_0503f61f,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_4/random_group_mean/seed_1/20260519T101158_0503f61f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M4_random_group_mean_seed1_20260519T101158/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101216/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_medoid,1,240,0,0.0,21.705479411408305,184.2852638351594,,8,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260519T101301_1c4210f8,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/medoid/seed_1/20260519T101301_1c4210f8/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_medoid_seed1_20260519T101301/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101322/result_run_preflight_report.json
aid,16,16,remoteclip_vit_b32,rs_cpc,rs_cpc_M8_random_group_mean,1,240,0,0.0,21.608206312172115,185.11485600481151,,8,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_1/20260519T101405_60a9a74f,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_16/M_8/random_group_mean/seed_1/20260519T101405_60a9a74f/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot16_M8_random_group_mean_seed1_20260519T101405/aid_remoteclip_vit_b32_rs_cpc_seed1/20260519T101423/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_mean,2,30,0,0.0,5.140609681606293,778.1178202096283,,1,mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260519T101500_8536b273,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/mean/seed_2/20260519T101500_8536b273/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_mean_seed2_20260519T101500/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101522/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_medoid,2,30,0,0.0,5.079559743404388,787.4698206264519,,1,medoid,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260519T101559_1637f58a,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/medoid/seed_2/20260519T101559_1637f58a/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_medoid_seed2_20260519T101559/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101630/result_run_preflight_report.json
aid,1,1,remoteclip_vit_b32,rs_cpc,rs_cpc_M1_random_group_mean,2,30,0,0.0,5.25536634773016,761.1267674474561,,1,random_group_mean,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260519T101657_0c94f8a8,results/raw/aid/remoteclip_vit_b32/rs_cpc/shot_1/M_1/random_group_mean/seed_2/20260519T101657_0c94f8a8/metrics.json,outputs/preflight/post_run_result/aid_remoteclip_vit_b32/day4_rs_cpc_shot1_M1_random_group_mean_seed2_20260519T101657/aid_remoteclip_vit_b32_rs_cpc_seed2/20260519T101716/result_run_preflight_report.json
